Event ID,Event Date,Brief Description,What happened,Event Location,Latitude,Longitude,NZ Region,Where Happened,Sector,Number of Injured Persons,Vessel Type,Safety System,Country Flag,Gross Tonnage,Length Overall,Year of Build
EVT-14,23/09/2018,"A log dropped from the trailer while taking the weight with the crane, the log landed on the berth behind the trailer.",Log Handling,"Marsden Point, Berth 1 Gang 4",-35.832255,174.487615,Northland,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,23950,184.75,2012
EVT-27,23/09/2018,"Vessel suffered a failure of the CCP mechanism in the propeller hub, effectively disabling it. A tow was called to take the vessel back to shore, this took a few days.",Propulsion failure,East of Auckland Island,-50.45833333,170.3858333,NULL,Offshore,Domestic Commercial,0,Trawler,MOSS,New Zealand,4407,104.5,1989
EVT-3,23/09/2018,"A crewmember was pinned between two 40"" full reefer boxes. They were taken to hospital for treatment.",Injury Only,Port Chalmers,-45.813144,170.625636,Otago,At berth,International Commercial,1,Container ship,ISM,Singapore,35491,232.33,2008
EVT-4,23/09/2018,The vessel had a trapdoor pilot ladder arrangement. The ladder was not attached to the hull side.,Pilot Ladder Standards,Port of Napier,-39.475401,176.919492,Hawke's Bay,In harbour,International Commercial,0,Container ship,ISM,Hong Kong,40168,260.05,2010
EVT-12,24/09/2018,The raft flipped and pulled rafters right ring finger sideways. First aid was applied.,Injury Only,"Tutea Falls, Kaituna River",-38.00897,176.344437,Bay of Plenty,River,Domestic Commercial,1,Raft,SOP,New Zealand,NULL,4.4,2018
EVT-19,24/09/2018,Log handling error resulted in log sliding onto the wharf.,Log Handling,Gisborne,-38.674982,178.023423,Gisborne,At berth,International Commercial,0,Bulk carrier,ISM,Panama,17018,169.37,2008
EVT-206,24/09/2018,"Vessel ran out of fuel, the fuel gauge failure resulted in the vessel not being filled.",Propulsion failure,Hollyford River ,-44.512253,168.069129,Southland,River,Domestic Commercial,0,Jetboat,SOP,New Zealand,NULL,7.3,NULL
EVT-32,25/09/2018,Skipper and crew member temporarily blinded after being hit in the eyes by a laser light that was being directed into the vessel wheelhouse.,Injury,"Wainui Bay, Golden Bay",-40.801299,172.942161,Tasman,Inshore,Domestic Commercial,2,Aquaculture vessel,MOSS,New Zealand,NULL,18.7,2002
EVT-17,26/09/2018,"The luffing wire broke, possibly due to the boom bouncing when coming free after discharging the heave in the side deck. One of the runs came off the spool which in turn caught on the drum brake, cutting the wire. ",Lifting/Cargo gear failure,"Gisborne Harbour, Berth 8",-38.675,178.023338,Gisborne,At berth,International Commercial,0,Bulk carrier,ISM,Panama,17018,169.37,2008
EVT-22,26/09/2018,During a spin a passenger received a minor cut above their eye after bumping into the seat in front of them. First aid was applied and they were taken to a medical centre once on shore.,Injury Only,Shotover River,-44.98245,168.666027,Otago,River,Domestic Commercial,1,Jetboat,SOP,New Zealand,NULL,5.5,NULL
EVT-26,27/09/2018,"Vessel experienced loss of starboard shaft propulsion whilst maneuvering into the rail ferry berth, due to failure to start of the starboard gearbox electrically driven lube oil pump.",Propulsion failure,Picton Harbour,-41.283056,174.006875,Marlborough,At berth,Domestic Commercial,0,Ro-Ro Passenger ship,ISM,New Zealand,17816,183.5,1998
EVT-40,27/09/2018,A log dropped from the trailer.,Log Handling,"Marsden Point, Berth 1",-35.832056,174.48627,Northland,At berth,International Commercial,0,Bulk carrier,ISM,Bahamas,23750,183,2015
EVT-35,28/09/2018,A spark entered the engine room via a partially opened panel and set fire to either a leather fire blanket or a dust cover over the port auxiliary. Crew emptied a co2 extinguisher through a hole which in turn extinguished the fire.,Fire,Port Nelson Dog Leg Wharf,-41.258103,173.274258,Nelson,At berth,Domestic Commercial,0,Other fishing vessel,MOSS,New Zealand,NULL,20.4,1990
EVT-36,28/09/2018,The skipper was setting up the boat for the spin it started to bounce. The timing of the bounce and the positioning of the boat came together to cause the boat to come down on top of a small submerged rock. This caused damage to the vessel.,Hit submerged object, Shotover Jet jetty,-44.987089,168.669727,Otago,River,Domestic Commercial,0,Jetboat,SOP,New Zealand,NULL,5.5,NULL
EVT-38,28/09/2018,A log fell from the deck stow into the sea.,Log Handling,"Port of Tauranga, Berth 11",-37.656962,176.180572,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Panama,23232,179.97,2017
EVT-39,28/09/2018,A log fell from the deck into the sea.,Log Handling,Port of Tauranga,-37.656962,176.180572,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Panama,23232,179.97,2017
EVT-49,28/09/2018,A large wave hit the vessel on the starboard side rolling the vessel to port approx. 40 to 50 degrees. A crewmember was thrown across the wheelhouse and landed on their tailbone on the step inside the rear entrance to the wheelhouse.,Extreme vessel movement,Hicks Bay,-36.767968,178.272309,NULL,Coastal,Domestic Commercial,1,Line fishing vessel,MOSS,New Zealand,NULL,18.95,2014
EVT-41,29/09/2018,"The vessel was pushed sideways from a large swell and it landed on the rear of the jet unit disabling the forward reverse bucket. Damage sustained to the vessel rear included the destruction of the radio antenna, navigation lamps.",Collision,Waitaia Bay,-36.774281,175.751082,Waikato,Inshore,Domestic Commercial,0,Charter passenger vessel,MOSS,New Zealand,NULL,7.65,1995
EVT-46,29/09/2018,As the cargo of 18 parcels of steel was moved by crane over the edge of the wharf one parcel of three lengths came free and fell on the wharf structure from a height of 5m. One length fell into the harbour and the other two landed on the wharf.,Lifting/Cargo gear failure,"Jellicoe Wharf, JA",-36.841933,174.778744,Auckland,At berth,International Commercial,0,General cargo/multi-purpose ship,ISM,Singapore,25483,199,2013
EVT-52,29/09/2018,Engineer reported port steam engine had mechanical problems and had to be stopped. Starboard engine and steering gear were in full working order. Vessel berthed without problem at usual position on wharf using one engine only.,Propulsion failure,"Wynyard Wharf, Auckland Harbour",-36.834386,174.759408,Auckland,In harbour,Domestic Commercial,0,Charter passenger vessel,MOSS,New Zealand,323,39.16,1935
EVT-57,29/09/2018,Recreational vessel capsized on Raglan bar with three passengers on board. The trio sustained minor facial injuries.,Capsize,Raglan Bar,-37.801323,174.832606,Waikato,River/harbour bar,Recreational,3,Pleasure craft,Pleasure - No System,New Zealand,NULL,6,NULL
EVT-47,30/09/2018,Two incidents of logs falling into the harbour during log loading operations.,Log Handling,"Lyttelton Port, Jetty 2",-43.606455,172.720653,Canterbury,At berth,International Commercial,0,Bulk carrier,ISM,Marshall Islands,20928,179.9,2010
EVT-51,30/09/2018,The boat proceeded to cover the gap of about 20m under hard acceleration and made impact into the side of another vessel. The station select button did not work so the skipper could not stop the engine. The collision caused damage to both boats.,Collision,"Viaduct Harbour, Auckland",-36.842425,174.759965,Auckland,In harbour,Recreational,0,Pleasure Yacht,Pleasure - No System,New Zealand,NULL,17.26,NULL
EVT-53,1/10/2018,"Internal fitting malfunction resulted in a leak in the vessel. The passenger swam to shore as their vessel ending up sinking. Once on shore, they let emergency services know what had happened. No injuries were sustained.",Foundered,Cape Brett,-35.168226,174.329263,Northland,Inshore,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,10,NULL
EVT-58,2/10/2018,Log fell approximately 4 metres onto wharf. All personnel were in safe zones. No injuries or damage occurred.,Log Handling,"Port of Tauranga, Berth 11",-37.659025,176.180637,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,23175,179.97,2017
EVT-60,2/10/2018,Log fell approx. 4 metres overboard. All personnel were in safe zones. No injuries or damage occurred ,Log Handling,"Port of Tauranga, Berth 11",-37.658635,176.180788,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,23175,179.97,2017
EVT-43,3/10/2018,"The pilot ladder was not up to standard, there were knots and splices throughout the rope. ",Pilot Ladder Standards,Tauranga Pilotage Area,-37.620102,176.16757,Bay of Plenty,In harbour,International Commercial,0,Bulk carrier,ISM,Hong Kong,17150,174,2002
EVT-54,4/10/2018,"Lasher was leaning over the safety rail when it gave way due to the bolt having rusted away, narrowly avoiding a 3.5m fall to the vessel deck. The rusted portion of the safety rail had been painted over, disguising the hazard.",Equipment failure,"Port of Napier, Berth 5",-39.473619,176.917428,Hawke's Bay,At berth,International Commercial,0,Container ship,ISM,Malta,52467,255.4,2013
EVT-62,4/10/2018,The pilot ladders man ropes had knots and splices on the ends and through the lengths of the rope. ,Pilot Ladder Standards,Port of Wellington,-41.275207,174.789148,Wellington,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,21532,179.96,2015
EVT-80,4/10/2018,"On vessel pre-start inspection, several broken strands were noticed on running wire on the drum on Crane 4 on each lay. Crew were advised that work would not start until the wires were changed. The crew changed the running wire and work commenced.",Lifting/Cargo gear failure,"Kingsford Quay, Port Nelson",-41.258267,173.27683,Nelson,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,19801,175.53,2011
EVT-65,5/10/2018,Vessel hit the reef while departing the harbour during a low tide.,Grounding,"Owenga Harbour, Chatham Islands",-44.023984,-176.364041,Chatham Islands,In harbour,Domestic Commercial,0,Other fishing vessel,MOSS,New Zealand,NULL,15.92,1994
EVT-68,6/10/2018,Vessel capsized on the bar and four passengers swam to shore safely. Emergency services attended the scene.,Capsize,Waitara River Bar,-38.985286,174.226803,Taranaki,River/harbour bar,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-31,7/10/2018,Stevedore fell off an open hatch cover and broke both wrists. They were taken to hospital for treatment.,Injury,Port of Bluff,-46.590674,168.335356,Southland,At berth,International Commercial,1,Bulk carrier,ISM,Portugal,21538,179.96,2015
EVT-44,7/10/2018,Vessel failed to respond to astern control. Vessel collided with a rock and then slipped back into clear water using centre control. No visible damage occurred with three passengers sustaining minor injuries.,Collision,"Seal Rock, Milford Sound",-44.606733,167.850591,Southland,Inshore,Domestic Commercial,3,Passenger Ferry,MOSS,New Zealand,375,39,1994
EVT-45,7/10/2018,A passenger tripped and fell down the stairs. Conditions were fine and the vessel was slowly approaching its berth. They were helicoptered off the vessel and taken to hospital as a precaution.,Injury,"Berth 3, Fresh Water Basin",-44.668635,167.925795,Southland,At berth,Domestic Commercial,1,Charter passenger vessel,MOSS,New Zealand,64.97,20.91,1979
EVT-66,7/10/2018,Crewmember fell overboard during yacht race. They were picked up by a following race boat following radio communication to fleet. They were in the water for approx. 5 minutes and sustained no injuries.,Person Overboard,Wellington Harbour,-41.278258,174.867544,Wellington,In harbour,Recreational,0,Yacht,Pleasure - No System,New Zealand,NULL,9.2,NULL
EVT-67,7/10/2018,"Whilst loading deck cargo, a log that had previously been loaded rolled off the deck and dropped several metres back on to the wharf. No injuries were sustained and the scene was frozen till crew were approved to work again.",Log Handling,Port Chalmers,-45.813738,170.628469,Otago,At berth,International Commercial,0,Bulk carrier,ISM,Marshall Islands,24605,179.9,2015
EVT-78,8/10/2018,The accommodation ladder was not secured to the ships side. The ladder platform was not level and was obstructing access to the pilot ladder. Crew rigging the arrangement were not wearing lifejackets or safety harness.,Pilot Ladder Standards,Whangarei Pilotage Area,-35.845465,174.515373,Northland,In harbour,International Commercial,0,Bulk carrier,ISM,Singapore,22402,179.9,2011
EVT-75,9/10/2018,"Vessel erred while coming alongside another vessel, touching slightly harder than planned. This resulted in the hand rails been bent inwards slightly and the MOB smoke float being activated. No injuries were sustained.",Contact,Lyttelton Harbour,-43.607355,172.752549,Canterbury,In harbour,Domestic Commercial,0,Other fishing vessel,MOSS,New Zealand,NULL,19.1,1998
EVT-129,10/10/2018,"The vessel was knocked down due to a wind gust. Crew climbed over side with one in water. Boat shortly inverted with pivoting centre-board extended. Two crew members were picked up, the other fixed the anchor. No injuries, vessel was towed to shore.",List,Caroline Bay,-44.384109,171.254542,Canterbury,In harbour,Recreational,0,Sail training vessel,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-48,10/10/2018,"The skipper could not pull the vessel off the concrete ramp before the low tide, and the vessel grounded on the ramp.",Grounding,Half Moon Bay Terminal,-36.879809,174.897325,Auckland,Marina/boat ramp,Domestic Commercial,0,Passenger/Vehicle Ferry,MOSS,New Zealand,232,44.75,1956
EVT-55,10/10/2018,"Gantry hook become dislodged when crewmember was lifting mussel back bone causing some soreness but no physical damage to skin or bruising. A few hours later they had a seizure, work was stopped immediately and the vessel headed to port.",Injury,"Waitata Bay, Marlborough Sounds",-40.97319,173.924172,Marlborough,Inshore,Domestic Commercial,1,Aquaculture vessel,MOSS,New Zealand,NULL,23.99,1969
EVT-69,10/10/2018,"Skipper turned on the motor in fwd. propulsion to manoeuvre away from another vessel in attempt to prevent a collision. A minor collision occurred between the two vessels, the beltings on the hull of each boat bumped. No damage or injuries occurred.",Contact,Waitemata Harbour,-36.828555,174.729414,Auckland,In harbour,Domestic Commercial,0,Charter passenger vessel,MOSS,New Zealand,26,14.98,1987
EVT-71,10/10/2018,"The crew were changing trawl nets, the Bosun was assisting to push heavy chain weights on to the net-roller and their hard hat became dislodged. While retrieving their hat, the chain slipped and knocked their head.",Injury,East of Cape Palliser,-41.647021,175.540058,Wellington,Inshore,Domestic Commercial,1,Trawler,MOSS,New Zealand,371,33.9,1992
EVT-72,10/10/2018,A drop of wood stain dripped into the workers right eye resulting in immediate pain and discomfort. First aid was carried out until the injured worker arrived at hospital. Corneal burns sustained.,Injury,"Sulphur Point, Tauranga",-37.67275,176.1719444,Bay of Plenty,At berth,Domestic Commercial,1,Workboat,MOSS,New Zealand,206,31,1990
EVT-74,10/10/2018,Log truck released their brakes early while onboard resulting with it rolling and hitting the boarding ramp. ,Contact,"Butters Landing Ferry, Port of Tauranga",-37.668158,176.179291,Bay of Plenty,At berth,Domestic Commercial,0,Passenger/Vehicle Ferry,MOSS,New Zealand,66,30,2005
EVT-79,10/10/2018,"Log fell approx. 4 metres in to the water, all personnel were in safe zones. No injuries or damage occurred. ",Log Handling,"Port of Tauranga, Berth 11",-37.658958,176.180702,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,19829,174.7,2005
EVT-50,11/10/2018,Fatal accident during a commercial operation.,Person Overboard,East of Cape Palliser,-41.606663,175.398671,Wellington,Inshore,Domestic Commercial,0,Trawler,MOSS,New Zealand,703,42.02,1989
EVT-63,11/10/2018,"The pilot ladder was not secured correctly. It also had knots, splices and shackles in the ropes. ",Pilot Ladder Standards,Port of Wellington,-41.279174,174.789942,Wellington,At berth,International Commercial,0,Bulk carrier,ISM,Marshall Islands,19885,177,2004
EVT-81,11/10/2018,"During log lift onto deck, a log slipped out and overboard on the vessel's starboard side into the water.",Log Handling,Gisborne Berth,-38.6761,178.021587,Gisborne,At berth,International Commercial,0,Bulk carrier,ISM,Panama,17019,169.37,2014
EVT-56,12/10/2018,RCCNZ was advised of a crewmember who had a serious medical condition onboard and required hospital treatment. The crewmember was transferred to a pilot vessel then to shore where an ambulance was waiting. ,Medical Event,Nelson Harbour,-41.258103,173.274258,Nelson,In harbour,Domestic Commercial,1,Trawler,MOSS,New Zealand,4407,104.5,1999
EVT-70,12/10/2018,"Crewperson installed a lashing chain onto the right rear section of a car transporter. The vehicle was then motioned forward and the bar where the lashing was attached failed and hit crewperson’s leg, causing them to suffer a broken tibia/fibula. ",Injury,"Waitohi Wharf, Picton",-41.282927,174.00612,Marlborough,At berth,Domestic Commercial,1,Ro-Ro Passenger ship,ISM,New Zealand,13906,124.9,2004
EVT-73,12/10/2018,Skipper accidentally put steering into inactive mode. They could not correct and tried to slow vessel and avoid impact with cardinal maker. The wind was too strong and the vessel made impact with marker with port bow. Marker collapsed on impact. ,Collision,"Whangarei Harbour, Limestone Island",-35.781826,174.357165,Northland,In harbour,Domestic Commercial,0,Other fishing vessel,MOSS,New Zealand,NULL,14.5,1967
EVT-77,13/10/2018,"Stevedore crane driver turned the crane clockwise into the hatch while another crane was in their blind spot, resulting in a minor collision.",Lifting/Cargo gear failure,Northport Berth,-35.832104,174.487158,Northland,At berth,International Commercial,0,Container ship,ISM,Hong Kong,10352,158.05,1991
EVT-84,13/10/2018,"One of the stanchion posts was detached at its base due to a forceful impact with logs while deck loading operation was in progress. Loading was ceased, and no injuries were reported.",Lifting/Cargo gear failure,Northport,-35.831826,174.485849,Northland,At berth,International Commercial,0,Bulk carrier,ISM,Panama,22409,179.9,2010
EVT-93,13/10/2018,"Two logs were dropped onto the wharf, all personnel were in a safe zone. The scene was not frozen, and was cleaned up with the digger. ",Log Handling,Port of Timaru,-44.390264,171.260881,Canterbury,At berth,International Commercial,0,Bulk carrier,ISM,Panama,22314,176.5,2015
EVT-108,15/10/2018,"The waka began approaching a moored vessel and they tried to correct and pull away, their waka came in contact with the front of the vessel. Vessels sustained minor cosmetic damage only.",Contact,Bowentown Harbour ,-37.468846,175.98349,Bay of Plenty,In harbour,Recreational,0,Waka,Pleasure - No System,New Zealand,NULL,6,NULL
EVT-76,15/10/2018,Smoke was seen coming from hold no. 5. Cargo onboard. Multi cargo operation called fire services and they commenced dousing hotspots onboard vessel. ,Fire,"Freyberg Wharf, Ports of Auckland",-36.843888,174.782673,Auckland,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,24785,179.99,2015
EVT-87,15/10/2018,"600L of molasses cargo overflowed from the cargo tank hatch, spilling on deck and overboard. This was immediately reported to the duty officer and cargo pump was stopped simultaneously. Spilled cargo was contained on deck and crew commenced clean up.",Cargo shift,"Berth 3, Port of Tauranga",-37.644079,176.181588,Bay of Plenty,At berth,International Commercial,0,Chemical tanker,ISM,Hong Kong,7745,128.72,2009
EVT-86,16/10/2018,When attaching lines to vessel one broke and hit the helmet off one linesman and had a near miss with another. ,Mooring line failure,Napier Port Berth ,-39.473727,176.921377,Hawke's Bay,At berth,International Commercial,0,General cargo/multi-purpose ship,ISM,Singapore,20886,179.5,2014
EVT-88,16/10/2018,All four blocks on the vessel were found with significant corrosion and wastage around some top bolts of the blocks. The swivel on the block of crane 4 was found to be missing 3 of the 4 bolts connecting it to the block. Repairs were arranged.,Lifting/Cargo gear failure,Leith Wharf,-45.874028,170.523106,Otago,At berth,International Commercial,0,Bulk carrier,ISM,Singapore,17019,169.37,2009
EVT-90,16/10/2018,The pilot ladder was not secured to the ships side above the 1.5m accommodation ladder platform.,Pilot Ladder Standards,Napier Pilotage Area,-39.469746,176.91291,Hawke's Bay,In harbour,International Commercial,0,Bulk carrier,ISM,Singapore,22402,179.9,2011
EVT-83,17/10/2018,"The non-coking coal cargo had been smoking while the vessel was at berth. One fire service was  at the scene. Vessel crew were hitting ""hot spots"" and the situation improved.",Fire,Port of Auckland,-36.843029,174.782438,Auckland,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,24785,179.99,2015
EVT-85,17/10/2018,Upon climbing the ladder the crewmember held onto the rung which moved and cracked. Operations in this hatch ceased till further notice.,Equipment failure,Centreport,-41.277495,174.789694,Wellington,At berth,International Commercial,0,Bulk carrier,ISM,Bahamas,24725,179.99,2015
EVT-89,17/10/2018,Vessel lost power to half of the main power distribution board as a generator was being brought back on line. Other generator started to take the load.,Electrical power failure,Tory Channel,-41.22737,174.151788,Marlborough,Inshore,Domestic Commercial,0,Ro-Ro Passenger ship,ISM,New Zealand,13906,124.9,2004
EVT-91,17/10/2018,Logs dropped onto the wharf. All personnel were in safe zones and no injuries were sustained.,Log Handling,"Port of Napier, Berth 2 South",-39.475872,176.921409,Hawke's Bay,At berth,International Commercial,0,Bulk carrier,ISM,Singapore,22402,179.9,2011
EVT-92,17/10/2018,"The block of No.4 crane was deformed due to rough handling of cargo logs by stevedores, no damage occurred to the ship's strength and seaworthiness.",Log Handling,"Berth 2, Port of Napier",-39.47492,176.921269,Hawke's Bay,At berth,International Commercial,0,Bulk carrier,ISM,Singapore,22402,179.9,2011
EVT-94,17/10/2018,"During log loading, logs fell back into the bunk. All personnel were in safe zones.",Log Handling,"Port of Tauranga, Berth 10",-37.657596,176.181095,Bay of Plenty,At berth,International Commercial,0,General cargo/multi-purpose ship,ISM,Panama,22522,179.8,2015
EVT-95,17/10/2018,The starboard bridge wing main engine rev indicator was faulty.,Equipment failure,"CentrePort, Wellington",-41.276933,174.789448,Wellington,At berth,International Commercial,0,Bulk carrier,ISM,Panama,18036,170.08,1998
EVT-100,18/10/2018,"The main engine stopped. Skipper aborted the approach and turned hard to port away from the entrance. After communication between the bridge and engine room, the engine started working again. ",Propulsion failure,"South of Pencarrow, Wellington ",-41.386395,174.849462,Wellington,Inshore,International Commercial,0,Container ship,ISM,Panama,21018,179.72,2007
EVT-97,18/10/2018,The pilot ladder was non compliant. ,Pilot Ladder Standards,"CentrePort, Wellington",-41.280448,174.790156,Wellington,At berth,International Commercial,0,Bulk carrier,ISM,Bahamas,24725,179.99,2015
EVT-98,18/10/2018,"Crew member slipped and fell down stairs, sustaining a cracked rib.",Injury,Firth of Thames,-37.079718,175.395516,Waikato,Inshore,Domestic Commercial,1,Aquaculture vessel,MOSS,New Zealand,NULL,16.9,1994
EVT-101,19/10/2018,"Port engine dropped revs, but did not cut out. Further investigation proved there was a partial blockage at exit of fuel tank. All passengers were transferred to another vessel. Fuel tank was cleared. ",Propulsion failure,Whakatane Heads,-37.937516,177.010053,Bay of Plenty,Inshore,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,NULL,12.4,2006
EVT-102,19/10/2018,"A faulty O-ring in Raycor Filter lead to loss of fuel to engine, resulting in the engine stopping. The anchor was laid, the filter was removed and a new O-ring was reinstalled. The engine was then restarted. ",Propulsion failure,500m south of Ringaringa Passage,-46.916467,168.145163,Southland,Inshore,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,NULL,6.3,1999
EVT-105,19/10/2018,"The crane driver noticed that the crane started to shudder when luffing down towards lower luff limit to place a heave of logs on deck. The luffing wire had jumped off the sheave and was damaged. It was replaced, no injuries occurred. ",Lifting/Cargo gear failure,Kingsford Quay Port Nelson,-41.258202,173.275655,Nelson,At berth,International Commercial,0,Bulk carrier,ISM,Marshall Islands,23950,184.75,2012
EVT-107,19/10/2018,"Passenger attempted jump, slipped, and hit hand rail before landing in water which resulted in a fractured left femur. Patient was transferred to the beach via the tender and transferred to hospital via helicopter. ",Injury,Anchorage Bay Abel Tasman,-40.952962,173.056195,Tasman,Inshore,Domestic Commercial,1,Passenger Ferry,MOSS,New Zealand,NULL,13.02,1984
EVT-144,19/10/2018,"Five passengers were on-board, the skipper and two people were trapped under the vessel for a short period of time. All were rescued from under the hull. Every passenger had life jackets on.",Capsize,"Waimarama, Hawkes Bay",-39.805428,176.999229,Hawke's Bay,Inshore,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-99,19/10/2018,The main engine alarms went off and the engine needed to be stopped due to high temperatures. A tug was in attendance and made fast C/L aft which then arrested the forward motion. The vessel was dead ship and pulled astern back to the berth safely.,Propulsion failure,Tauranga Harbour,-37.655484,176.178351,Bay of Plenty,In harbour,International Commercial,0,Container ship,ISM,Hong Kong,10352,158.05,1991
